,ListingCreationDate,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,BorrowerState,Occupation,EmploymentStatus,CreditScoreRangeUpper,Credit,Rate_Range,Count
31,2012-09-21 13:37:43.210000000,36,Current,,0.35797,0.3177,WI,Other,Other,699.0,Fair,30-34.99%,1
54,2012-08-26 09:43:38.643000000,60,Current,,0.20931,0.1852,WI,Executive,Employed,739.0,Good,15-19.99%,1
105,2011-08-16 20:24:41.713000000,36,Chargedoff,2012-04-01 00:00:00,0.30532,0.2699,WI,Sales - Commission,Employed,659.0,Fair,25-29.99%,1
137,2013-12-30 09:12:58.487000000,36,Current,,0.21648,0.1795,WI,Construction,Employed,679.0,Fair,15-19.99%,1
182,2012-04-20 13:37:22.147000000,36,Current,,0.25259,0.2148,WI,Computer Programmer,Employed,699.0,Fair,20-24.99%,1
224,2014-01-10 07:24:44.853000000,36,Current,,0.13799,0.1099,WI,Sales - Commission,Employed,739.0,Good,10-14.99%,1
278,2014-02-07 10:24:00.187000000,60,Current,,0.15449,0.1314,WI,Truck Driver,Employed,719.0,Good,10-14.99%,1
324,2008-07-25 07:50:24.223000000,36,Chargedoff,2009-12-05 00:00:00,0.13411,0.12,WI,Laborer,Full-time,699.0,Fair,10-14.99%,1
395,2008-08-31 20:19:33.923000000,36,Completed,2009-05-04 00:00:00,0.15512,0.148,WI,Other,Self-employed,779.0,Excellent,10-14.99%,1
446,2013-12-04 10:10:37.530000000,36,Current,,0.13189,0.1039,WI,Social Worker,Employed,719.0,Good,10-14.99%,1
540,2013-11-15 15:12:11.190000000,36,Current,,0.20984,0.173,WI,Truck Driver,Self-employed,659.0,Fair,15-19.99%,1
559,2014-02-27 11:29:14.240000000,36,Current,,0.26383,0.2254,WI,Retail Management,Employed,679.0,Fair,20-24.99%,1
583,2013-11-18 14:11:18.767000000,36,Current,,0.2129,0.176,WI,Nurse (RN),Employed,719.0,Good,15-19.99%,1
609,2014-01-13 10:39:37.877000000,36,Current,,0.23847,0.201,WI,Analyst,Employed,679.0,Fair,20-24.99%,1
711,2012-06-10 15:30:15.987000000,36,Current,,0.25259,0.2148,WI,Professional,Employed,679.0,Fair,20-24.99%,1
765,2013-12-02 07:36:43.197000000,60,Current,,0.15425,0.1314,WI,Computer Programmer,Employed,759.0,Excellent,10-14.99%,1
778,2014-01-25 21:33:17.523000000,36,Current,,0.12691,0.099,WI,Sales - Retail,Employed,719.0,Good,5-9.99%,1
815,2011-12-14 07:16:28.677000000,36,Current,,0.19108,0.1621,WI,Professional,Employed,699.0,Fair,15-19.99%,1
820,2007-02-10 07:04:53.390000000,36,Completed,2009-10-19 00:00:00,0.13202,0.125,WI,Other,Not available,679.0,Fair,10-14.99%,1
985,2013-08-09 10:18:38.177000000,60,Current,,0.31848,0.2916,WI,Professional,Employed,639.0,Poor,25-29.99%,1
1021,2013-11-11 08:08:35.287000000,36,Current,,0.26917,0.231,WI,Laborer,Employed,679.0,Fair,20-24.99%,1
1489,2012-03-09 04:52:44.520000000,36,Completed,2013-12-02 00:00:00,0.17754,0.1414,WI,Laborer,Employed,719.0,Good,10-14.99%,1
1535,2010-02-24 06:06:00.263000000,36,Completed,2011-03-16 00:00:00,0.22135,0.199,WI,Administrative Assistant,Full-time,659.0,Fair,15-19.99%,1
1576,2012-11-17 12:03:35.607000000,36,Completed,2013-12-19 00:00:00,0.21434,0.1774,WI,Civil Service,Employed,699.0,Fair,15-19.99%,1
1615,2007-05-15 18:21:57.217000000,36,Completed,2010-05-24 00:00:00,0.08718,0.07,WI,Engineer - Mechanical,Full-time,819.0,Excellent,5-9.99%,1
1622,2011-01-26 16:04:59.433000000,36,Completed,2012-09-17 00:00:00,0.06888,0.0655,WI,Skilled Labor,Employed,759.0,Excellent,5-9.99%,1
1804,2008-04-23 12:38:38.920000000,36,Completed,2011-05-07 00:00:00,0.09688,0.09,WI,Food Service,Full-time,779.0,Excellent,5-9.99%,1
1870,2014-02-17 12:00:38.570000000,36,Current,,0.21687,0.1795,WI,Other,Self-employed,719.0,Good,15-19.99%,1
1894,2013-08-21 07:51:35.810000000,36,Current,,0.3179,0.2786,WI,Retail Management,Employed,639.0,Poor,25-29.99%,1
1953,2013-02-08 16:53:36.293000000,60,Current,,0.14965,0.1269,WI,Chemist,Employed,819.0,Excellent,10-14.99%,1
2050,2006-06-01 11:45:29.423000000,36,Defaulted,2007-10-07 00:00:00,0.18824,0.17,WI,,,499.0,Bad,15-19.99%,1
2097,2013-12-31 10:34:15.973000000,60,Current,,0.14147,0.1189,WI,Professional,Employed,719.0,Good,10-14.99%,1
2151,2008-03-21 17:56:04.943000000,36,Defaulted,2009-01-27 00:00:00,0.1501,0.143,WI,Construction,Full-time,799.0,Excellent,10-14.99%,1
2174,2014-01-17 10:15:56.553000000,36,Current,,0.16732,0.1314,WI,Clerical,Employed,759.0,Excellent,10-14.99%,1
2266,2007-06-25 15:57:49.113000000,36,Completed,2010-04-09 00:00:00,0.11621,0.1075,WI,Clerical,Full-time,719.0,Good,10-14.99%,1
2306,2013-09-08 18:35:10.357000000,60,Current,,0.30337,0.2769,WI,Executive,Self-employed,659.0,Fair,25-29.99%,1
2330,2013-06-19 21:11:09.780000000,60,Current,,0.13942,0.1169,WI,Food Service,Employed,719.0,Good,10-14.99%,1
2359,2013-12-01 21:05:12.973000000,36,Current,,0.17151,0.1355,WI,Retail Management,Employed,659.0,Fair,10-14.99%,1
2386,2013-11-26 09:44:57.203000000,60,Current,,0.21832,0.194,WI,Professional,Employed,699.0,Fair,15-19.99%,1
2774,2014-01-09 15:06:20.973000000,36,Current,,0.26149,0.2235,WI,Retail Management,Employed,659.0,Fair,20-24.99%,1
